dataset,t8,t16,t24,t32
1280x720,37.45,39.13,38.63,36.88
1920x1080,33.98,32.25,33.06,34.9
2560x1440,33.47,33.43,32.48,32.64
3840x2160,34.85,34.66,35.73,33.41
7680x4320,35.82,35.24,35.48,34.91
