dataset,t8,t16,t24,t32
1280x720,42.99,43.74,41.92,39.52
1920x1080,36.73,36.79,35.79,36.49
2560x1440,38.19,37.41,36.94,37.29
3840x2160,36.13,34.86,34.52,34.7
7680x4320,35.96,34.94,34.88,34.64
