dataset,t8,t16,t24,t32
1280x720,41.16,41.41,42.4,44.57
1920x1080,44.68,45.19,43.31,44.95
2560x1440,45.62,44.62,44.35,44.14
3840x2160,43.18,43.31,43.22,42.04
7680x4320,37.0,36.62,36.88,36.38
