dataset,t8,t16,t24,t32
1280x720,42.44,51.06,73.21,64.58
1920x1080,47.77,57.98,74.44,67.88
2560x1440,47.74,61.44,75.95,69.71
3840x2160,44.89,65.33,79.87,68.35
7680x4320,39.61,69.46,79.6,69.47
