dataset,t8,t16,t24,t32
1280x720,44.21,45.73,45.74,42.76
1920x1080,37.42,37.47,39.51,39.65
2560x1440,36.86,38.56,41.27,40.12
3840x2160,36.98,36.31,41.37,39.14
7680x4320,36.67,37.51,39.54,38.55
