dataset,t8,t16,t24,t32
1280x720,39.71,41.09,39.48,39.73
1920x1080,37.0,37.5,40.93,39.42
2560x1440,33.5,34.1,39.35,35.31
3840x2160,35.64,36.59,49.34,43.59
7680x4320,36.15,35.76,44.65,38.14
