dataset,t8,t16,t24,t32
1280x720,37.73,36.78,36.48,36.87
1920x1080,37.04,35.5,36.61,36.49
2560x1440,33.21,33.2,32.53,32.71
3840x2160,34.94,33.83,33.84,33.74
7680x4320,35.44,35.09,35.67,34.92
