version,resolution,dilatation_mean,dilatation_max,erosion_mean,erosion_max,opening_mean,opening_max,closing_mean,closing_max
naive,1280x720,"44,57","48,85","39,52","50,14","36,88","51,17","36,87","47,5"
optimized,1280x720,"45,1","49,75","42,76","52,97","39,72","53,51","39,73","49,23"
naive,1920x1080,"44,95","56,98","36,49","56,55","34,9","49,59","36,49","55,4"
optimized,1920x1080,"45,79","59,63","39,65","60,1","38,02","53,19","39,42","58,95"
naive,2560x1440,"44,14","56,27","37,29","54,59","32,64","35,17","32,71","36,14"
optimized,2560x1440,"49,17",59,"40,12","59,64","34,21","37,36","35,31","38,95"
naive,3840x2160,"42,04","60,61","34,7","37,44","33,41","35,18","33,74","36,05"
optimized,3840x2160,"49,74","65,44","39,14","40,14","39,85","41,27","43,59","44,21"
naive,7680x4320,"36,38","37,75","34,64","36,14","34,91","36,27","34,92","36,01"
optimized,7680x4320,"40,73","40,18","38,55","39,41","38,39","39,03","38,14","39,01"
