version,resolution,dilatation_mean,dilatation_max,erosion_mean,erosion_max,opening_mean,opening_max,closing_mean,closing_max
naive,1280x720,"41,16","49,62","42,99","52,28","37,45","51,53","37,73","51,96"
optimized,1280x720,"41,76","50,99","44,21","52,89","37,3","52,61","39,71","53,22"
naive,1920x1080,"44,68","57,14","36,73","54,45","33,98","50,08","37,04","54,63"
optimized,1920x1080,"47,77","58,85","37,42","56,32","35,46","51,99",37,"54,86"
naive,2560x1440,"45,62","59,15","38,19","40,09","33,47","37,24","33,21","36,78"
optimized,2560x1440,"46,44","60,1","36,86","41,1","34,1","37,7","33,5","36,97"
naive,3840x2160,"43,18","58,49","36,13","42,79","34,85","43,63","34,94","40,54"
optimized,3840x2160,"43,89","59,78","36,98","43,33","36,71","47,63","35,64","42,38"
naive,7680x4320,37,"38,28","35,96","39,98","35,82","37,99","35,44","36,78"
optimized,7680x4320,"37,77","39,61","36,67","40,14","36,73","38,67","36,15","37,82"
